id_student;name;phone;id_group
1;Блантер Лавр Леонович;7(9704)858-24-00;2
2;Шемякин Пимен Валерьянович;7(9219)560-71-11;2
3;Русинов Данил Мечиславович;7(706)767-81-36;4
4;Гершкович Федор Тарасович;7(180)992-11-16;4
5;Достовалов Карп Демьянович;7(763)742-54-95;3
6;Янишевский Эмиль Владиславович;7(53)676-38-54;2
7;Парамонов Остап Филиппович;7(43)554-11-28;2
8;Элефтеров Владилен Куприянович;7(169)143-76-81;3
9;Пенкин Никанор Дмитриевич;7(5839)838-27-18;3
10;Чегодаев Платон Платонович;7(59)778-94-73;3
11;Ярославцев Феофан Евгениевич;7(163)444-03-79;2
12;Якурин Владислав Эрнстович;7(62)899-72-56;3
13;Шагидзянов Семен Касьянович;7(343)815-42-17;1
14;Гребенников Фадей Епифанович;7(62)662-66-99;4
15;Тарасов Ростислав Никонович;7(894)192-73-60;2
16;Михайлов Радион Левович;7(511)427-49-09;1
17;Бабыкин Артем Эмилевич;7(622)127-01-15;1
18;Пелёвин Степан Ефремович;7(17)541-09-22;1
19;Цейдлерин Тарас Ипполитович;7(7461)610-34-35;4
20;Эскин Ярослав Кондратиевич;7(536)519-79-02;1
21;Куимов Станислав Самуилович;7(12)441-19-73;4
22;Другаков Тимур Чеславович;7(444)873-43-60;4
23;Переверзев Онисим Никанорович;7(12)810-04-13;3
24;Карапетян Андриян Панкратиевич;7(5886)692-14-68;3
25;Антипин Юлиан Тихонович;7(428)897-01-79;3
26;Луньков Кир Ермолаевич;7(707)453-23-00;4
27;Завражнов Агап Якубович;7(0215)983-27-10;3
28;Киселев Борис Матвеевич;7(8186)241-02-55;3
29;Дятлов Евсей Гордеевич;7(7878)719-20-91;4
30;Ишутин Изяслав Яковович;7(195)643-40-46;3
31;Пелевин Всеслав Святославович;7(567)138-01-69;1
32;Шевцов Варфоломей Кириллович;7(8818)320-28-28;1
33;Экель Александра Измаиловна;7(63)106-67-37;2
34;Комарова Ева Агафоновна;7(7699)871-79-05;3
35;Шишмарёва Юлия Савелиевна;7(35)184-34-75;4
36;Рящина Инна Геннадиевна;7(722)603-47-33;2
37;Нечаева Лиана Макаровна;7(11)912-44-60;4
38;Мальцева Кристина Тихоновна;7(7830)169-89-13;4
39;Осминина Мария Вячеславовна;7(260)930-15-30;1
40;Канаша Василиса Михаиловна;7(650)509-44-08;4
41;Кая Евдокия Гаврииловна;7(673)961-23-11;2
42;Григолюка Рената Остаповна;7(52)165-72-08;3
43;Молодыха Елизавета Владиленовна;7(695)358-82-62;2
44;Слобожанина Кира Марковна;7(5907)196-72-08;4
45;Онегина Яна Федотовна;7(5616)624-12-76;4
46;Великая Пелагея Елизаровна;7(69)973-87-11;4
47;Торопова Зинаида Кондратьевна;7(0773)614-22-08;4
48;Шаньгина Вера Евдокимовна;7(2205)777-65-64;4
49;Артемьева Маргарита Емельяновна;7(5297)049-33-55;4
50;Зиновьева Мирослава Василиевна;7(8786)197-70-44;3
51;Яшнова Вероника Владленовна;7(0934)968-68-81;1
52;Лагранская Ульяна Леонидовна;7(2437)251-92-39;1
53;Хомколова Дарья Давидовна;7(1935)350-84-94;2
54;Абрамович Инесса Харитоновна;7(53)613-15-14;2
55;Локтева Римма Андрияновна;7(6678)680-61-62;3
56;Смышляева Алла Зиновьевна;7(233)278-81-95;4
57;Махова Анастасия Карповна;7(36)405-17-29;2
58;Голодяева Тамара Богдановна;7(9886)494-62-73;2
59;Гришко Оксана Карловна;7(513)189-45-68;3
60;Трунина Ника Ильевна;7(293)904-78-17;1
61;Цыганова Любава Ивановна;7(020)037-65-13;4
62;Мухаметова Эмма Арсентиевна;7(920)991-19-46;1
63;Мазурина Екатерина Владиславовна;7(5173)472-77-57;1
64;Новицкая Ираида Валентиновна;7(23)362-39-38;2
65;Шибалова Эмилия Капитоновна;7(2902)719-88-31;2
66;Шульц Ариадна Филимоновна;7(040)989-11-65;4
67;Шаронова Янина Денисовна;7(9972)658-78-24;2
68;Токмакова Зоя Тарасовна;7(1385)259-34-81;3
69;Саблина Полина Ираклиевна;7(020)005-82-45;1
70;Низовцова Роза Никитевна;7(2264)660-51-57;3
71;Флёрова Алина Артуровна;7(4123)645-70-57;2
72;Кулдошина Алиса Рубеновна;7(400)921-67-83;1
73;Менщикова Валентина Фомевна;7(886)638-76-19;3
74;Седегова Рада Леонидовна;7(54)608-25-83;4
75;Мажова Марфа Эдуардовна;7(866)447-83-64;4
76;Еськина Диана Потаповна;7(2840)607-25-78;1
77;Зинченко Ирина Ярославовна;7(511)463-12-85;3
